ANO,AGREGACAO,CODIGO,NOME,IDHM,IDHM_L,IDHM_E,IDHM_R,I_ESCOLARIDADE,I_FREQ_PROP,IDHMAD,IDHMAD_L,IDHMAD_E,IDHMAD_R,ATK_ESPVIDA,ATK_ANOSEST,ATK_RDPC,IDHMAD_PERDA,IDHMAD_L_PERDA,IDHMAD_E_PERDA,IDHMAD_R_PERDA,IDHMAD_COEF,ESPVIDA,MORT1,T_ENV,RAZDEP,T_FREQ5A6,T_FUND11A13,T_FUND15A17,T_MED18A20,T_FUND18M,ANOSEST,T_ANALF15M,T_ANALF18M,T_ANALF25M,T_FREQ6A14,T_FREQ15A17,T_FREQ18A24,T_FUND18A24,T_FUND25M,T_MED25M,T_SUPER25M,T_ATRASO_2_BASICO,T_ATRASO_2_FUND,T_FLBAS,T_FLFUND,T_FLMED,T_FLSUPER,RDPC,RDPCT,RENOCUP,PRENTRAB,RDPC1,RDPC2,RDPC3,RDPC4,RDPC5,RDPC10,R1040,R2040,GINI,THEIL,PIND,PMPOB,PPOB,RIND,RMPOB,RPOB,POPTOT,POP,POPT,POP5A6,POP6A14,POP6A17,POP11A13,POP15A17,POP15M,POP18A20,POP18A24,POP18M,POP25M,POP65M,POPOCUP18M
"2012,BRASIL,,,0.746,0.825,0.687,0.732,0.606,0.731,0.571,0.743,0.550,0.456,0.100,0.200,0.377,23.5,10.0,20.0,37.7,22.6,74.48,15.79,7.71,45.66,92.54,86.68,64.00,49.28,60.61,8.56,8.21,8.75,10.22,98.13,84.09,29.39,81.58,56.30,41.63,12.25,18.80,15.11,91.80,93.71,53.12,15.75,759.11,766.53,1337.46,75.77,120.30,277.98,457.00,723.56,2217.39,3249.15,16.32,11.13,0.540,0.526,4.32,11.38,26.78,34.20,80.60,147.63,"" 197,720,534 "","" 197,539,065 "","" 195,627,652 "","" 5,987,147 "","" 29,199,570 "","" 39,808,859 "","" 10,304,212 "","" 10,609,288 "","" 150,994,845 "","" 10,076,087 "","" 23,924,348 "","" 140,385,557 "","" 116,461,209 "","" 15,249,133 "","" 84,277,753 """
"2013,BRASIL,,,0.753,0.830,0.698,0.737,0.615,0.744,0.581,0.749,0.562,0.467,0.097,0.195,0.367,22.8,9.7,19.5,36.7,22.0,74.80,15.11,7.93,45.00,93.74,87.58,66.21,50.11,61.51,8.69,7.93,8.44,9.87,98.27,84.35,29.55,82.01,57.37,42.79,12.76,17.20,13.63,91.67,93.56,54.64,16.32,784.47,791.56,1380.05,76.57,129.17,293.65,478.80,750.32,2269.09,3310.02,15.66,10.73,0.532,0.509,3.71,10.07,24.95,34.35,81.13,150.12,"" 199,402,499 "","" 199,254,117 "","" 197,469,397 "","" 5,933,908 "","" 28,534,013 "","" 39,055,262 "","" 9,986,737 "","" 10,521,249 "","" 153,338,252 "","" 10,336,071 "","" 24,034,903 "","" 142,817,003 "","" 118,782,100 "","" 15,820,311 "","" 86,108,710 """
"2014,BRASIL,,,0.762,0.835,0.715,0.741,0.630,0.761,0.593,0.757,0.581,0.474,0.094,0.188,0.360,22.2,9.4,18.8,36.0,21.4,75.11,14.48,8.17,44.75,94.42,89.09,68.14,52.76,63.01,8.88,7.50,7.97,9.30,98.49,84.10,30.43,83.31,59.02,44.31,13.62,15.51,12.14,91.78,93.78,56.12,17.97,806.32,813.01,1419.65,76.99,138.14,308.43,497.03,776.02,2311.90,3358.54,15.04,10.35,0.526,0.495,3.37,9.01,23.15,34.74,81.01,152.14,"" 201,108,347 "","" 200,970,574 "","" 199,317,068 "","" 5,767,838 "","" 28,319,104 "","" 38,765,780 "","" 9,687,655 "","" 10,446,675 "","" 155,356,978 "","" 10,224,771 "","" 23,840,076 "","" 144,910,303 "","" 121,070,227 "","" 16,425,141 "","" 87,308,460 """
"2015,BRASIL,,,0.765,0.840,0.724,0.736,0.642,0.769,0.598,0.764,0.591,0.473,0.091,0.184,0.358,21.9,9.1,18.4,35.8,21.1,75.40,13.90,8.41,44.37,94.93,90.67,68.18,53.84,64.16,9.03,7.28,7.73,8.97,98.73,85.49,30.13,84.38,60.25,45.78,14.46,14.57,11.01,93.23,95.21,57.61,18.37,780.32,787.37,1364.03,76.11,132.41,301.04,486.48,757.11,2227.73,3219.79,14.86,10.28,0.524,0.493,3.71,9.59,24.25,34.64,79.57,150.82,"" 202,858,853 "","" 202,734,656 "","" 200,918,955 "","" 5,760,927 "","" 27,788,168 "","" 38,189,476 "","" 9,314,133 "","" 10,401,307 "","" 157,576,293 "","" 10,394,554 "","" 23,851,445 "","" 147,174,986 "","" 123,323,541 "","" 17,060,247 "","" 87,756,538 """
"2016,BRASIL,,,0.771,0.845,0.740,0.734,0.657,0.786,0.596,0.770,0.602,0.457,0.089,0.186,0.377,22.7,8.9,18.6,37.7,21.7,75.68,13.37,8.67,44.07,96.55,92.44,69.47,55.89,65.68,9.13,6.81,7.23,8.41,99.02,86.80,30.73,86.00,61.83,47.47,15.34,13.33,9.95,94.47,96.67,59.98,19.03,770.94,779.29,1363.73,75.69,120.55,284.25,466.32,734.50,2249.43,3268.95,16.15,11.11,0.537,0.524,4.65,11.03,26.17,34.02,76.75,145.78,"" 204,532,351 "","" 204,415,491 "","" 202,226,795 "","" 5,708,514 "","" 27,319,801 "","" 37,694,949 "","" 9,288,033 "","" 10,375,148 "","" 159,692,542 "","" 10,242,815 "","" 23,779,687 "","" 149,317,393 "","" 125,537,706 "","" 17,728,449 "","" 87,110,394 """
"2017,BRASIL,,,0.774,0.849,0.742,0.735,0.655,0.789,0.599,0.775,0.611,0.453,0.087,0.177,0.384,22.6,8.7,17.7,38.4,21.6,75.96,12.88,8.94,43.93,96.59,93.12,69.21,56.54,65.45,9.26,6.69,7.09,8.24,99.06,86.92,31.04,85.99,61.60,47.98,15.43,12.58,9.17,94.48,97.05,59.82,19.45,774.72,784.30,1358.22,74.82,116.89,284.28,470.23,738.15,2255.48,3295.25,16.43,11.24,0.539,0.530,5.29,11.36,26.24,33.77,73.55,143.59,"" 206,172,340 "","" 206,095,081 "","" 203,579,428 "","" 5,793,161 "","" 26,977,583 "","" 36,965,134 "","" 9,178,387 "","" 9,987,551 "","" 161,671,766 "","" 10,306,849 "","" 23,975,663 "","" 151,684,215 "","" 127,708,552 "","" 18,431,296 "","" 87,616,245 """
"2018,BRASIL,,,0.780,0.854,0.749,0.741,0.662,0.797,0.602,0.781,0.622,0.450,0.085,0.169,0.393,22.7,8.5,16.9,39.3,21.6,76.22,12.42,9.22,44.02,96.95,93.34,70.05,58.49,66.23,9.45,6.46,6.82,7.88,99.12,87.80,31.22,86.60,62.46,49.62,16.57,12.16,8.72,94.93,97.18,60.91,20.32,802.94,812.53,1386.46,74.47,116.43,288.47,484.57,764.34,2359.28,3468.56,17.13,11.65,0.545,0.548,5.38,11.30,26.00,33.18,71.78,142.87,"" 207,853,293 "","" 207,750,303 "","" 205,297,475 "","" 5,637,587 "","" 26,818,633 "","" 36,460,225 "","" 9,041,166 "","" 9,641,591 "","" 163,492,349 "","" 10,093,878 "","" 23,998,725 "","" 153,850,757 "","" 129,852,032 "","" 19,168,661 "","" 89,281,706 """
"2019,BRASIL,,,0.785,0.858,0.760,0.743,0.674,0.807,0.609,0.787,0.634,0.453,0.083,0.166,0.390,22.4,8.3,16.6,39.0,21.3,76.47,12.00,9.52,44.09,96.86,94.09,71.48,60.26,67.42,9.55,6.28,6.61,7.64,99.27,88.32,30.98,88.12,63.66,50.69,16.83,11.16,7.99,95.38,97.71,62.90,20.44,814.30,823.75,1381.35,74.42,117.40,294.94,497.37,780.89,2376.44,3492.48,16.94,11.53,0.544,0.547,5.42,11.11,25.36,33.43,71.04,141.39,"" 209,496,463 "","" 209,419,050 "","" 207,017,440 "","" 5,696,969 "","" 26,609,576 "","" 35,999,274 "","" 8,951,264 "","" 9,389,698 "","" 165,329,825 "","" 10,194,743 "","" 23,952,392 "","" 155,940,127 "","" 131,987,735 "","" 19,941,230 "","" 91,579,200 """
"2020,BRASIL,,,0.784,0.854,0.768,0.736,0.695,0.807,0.618,0.777,0.650,0.467,0.090,0.153,0.365,21.2,9.0,15.3,36.5,20.3,76.21,14.02,9.83,44.33,91.99,94.97,73.11,62.87,69.48,9.82,5.39,5.67,6.52,99.21,90.88,32.48,90.60,65.77,53.35,18.06,10.32,7.03,96.28,97.69,65.73,21.32,779.13,792.83,1424.81,72.91,130.74,307.12,489.82,746.63,2221.52,3241.39,14.81,10.15,0.524,0.485,4.41,9.41,23.70,25.86,69.50,147.81,"" 211,096,453 "","" 211,020,949 "","" 207,374,391 "","" 5,891,193 "","" 26,392,885 "","" 35,750,038 "","" 8,751,715 "","" 9,357,153 "","" 167,005,197 "","" 9,806,225 "","" 23,521,448 "","" 157,648,044 "","" 134,126,596 "","" 20,748,553 "","" 83,946,549 """
"2021,BRASIL,,,0.766,0.819,0.757,0.724,0.703,0.785,0.591,0.740,0.640,0.436,0.096,0.154,0.398,22.8,9.6,15.4,39.8,21.6,74.16,15.28,10.15,44.57,88.18,94.04,70.56,61.27,70.31,9.91,5.19,5.45,6.26,98.84,92.80,33.38,90.60,66.86,53.89,18.63,11.46,8.35,96.61,97.63,64.84,20.84,723.84,738.28,1336.18,75.42,100.13,261.86,440.02,699.27,2115.37,3089.77,17.07,11.69,0.544,0.537,6.80,13.43,28.76,31.35,68.98,136.62,"" 212,650,323 "","" 212,577,217 "","" 208,421,576 "","" 5,860,250 "","" 26,435,508 "","" 35,708,677 "","" 8,708,856 "","" 9,273,169 "","" 168,679,921 "","" 9,546,945 "","" 23,143,737 "","" 159,406,751 "","" 136,263,014 "","" 21,590,309 "","" 86,645,408 """
