ANO;AGREGACAO;CODIGO;NOME;IDHM;IDHM_L;IDHM_E;IDHM_R;I_ESCOLARIDADE;I_FREQ_PROP;IDHMAD;IDHMAD_L;IDHMAD_E;IDHMAD_R;ATK_ESPVIDA;ATK_ANOSEST;ATK_RDPC;IDHMAD_PERDA;IDHMAD_L_PERDA;IDHMAD_E_PERDA;IDHMAD_R_PERDA;IDHMAD_COEF;ESPVIDA;MORT1;T_ENV;RAZDEP;T_FREQ5A6;T_FUND11A13;T_FUND15A17;T_MED18A20;T_FUND18M;ANOSEST;T_ANALF15M;T_ANALF18M;T_ANALF25M;T_FREQ6A14;T_FREQ15A17;T_FREQ18A24;T_FUND18A24;T_FUND25M;T_MED25M;T_SUPER25M;T_ATRASO_2_BASICO;T_ATRASO_2_FUND;T_FLBAS;T_FLFUND;T_FLMED;T_FLSUPER;RDPC;RDPCT;RENOCUP;PRENTRAB;RDPC1;RDPC2;RDPC3;RDPC4;RDPC5;RDPC10;R1040;R2040;GINI;THEIL;PIND;PMPOB;PPOB;RIND;RMPOB;RPOB;POPTOT;POP;POPT;POP5A6;POP6A14;POP6A17;POP11A13;POP15A17;POP15M;POP18A20;POP18A24;POP18M;POP25M;POP65M;POPOCUP18M
2012;BRASIL;;;746;825;687;732;606;731;571;743;55;456;1;2;377;235;10;20;377;226;7448;1579;771;4566;9254;8668;64;4928;6061;856;821;875;1022;9813;8409;2939;8158;563;4163;1225;188;1511;918;9371;5312;1575;75911;76653;133746;7577;1203;27798;457;72356;221739;324915;1632;1113;54;526;432;1138;2678;342;806;14763;197720534;197539065;195627652;5987147;29199570;39808859;10304212;10609288;150994845;10076087;23924348;140385557;116461209;15249133;84277753
2013;BRASIL;;;753;83;698;737;615;744;581;749;562;467;97;195;367;228;97;195;367;22;748;1511;793;45;9374;8758;6621;5011;6151;869;793;844;987;9827;8435;2955;8201;5737;4279;1276;172;1363;9167;9356;5464;1632;78447;79156;138005;7657;12917;29365;4788;75032;226909;331002;1566;1073;532;509;371;1007;2495;3435;8113;15012;199402499;199254117;197469397;5933908;28534013;39055262;9986737;10521249;153338252;10336071;24034903;142817003;118782100;15820311;86108710
2014;BRASIL;;;762;835;715;741;63;761;593;757;581;474;94;188;36;222;94;188;36;214;7511;1448;817;4475;9442;8909;6814;5276;6301;888;75;797;93;9849;841;3043;8331;5902;4431;1362;1551;1214;9178;9378;5612;1797;80632;81301;141965;7699;13814;30843;49703;77602;23119;335854;1504;1035;526;495;337;901;2315;3474;8101;15214;201108347;200970574;199317068;5767838;28319104;38765780;9687655;10446675;155356978;10224771;23840076;144910303;121070227;16425141;87308460
2015;BRASIL;;;765;84;724;736;642;769;598;764;591;473;91;184;358;219;91;184;358;211;754;139;841;4437;9493;9067;6818;5384;6416;903;728;773;897;9873;8549;3013;8438;6025;4578;1446;1457;1101;9323;9521;5761;1837;78032;78737;136403;7611;13241;30104;48648;75711;222773;321979;1486;1028;524;493;371;959;2425;3464;7957;15082;202858853;202734656;200918955;5760927;27788168;38189476;9314133;10401307;157576293;10394554;23851445;147174986;123323541;17060247;87756538
2016;BRASIL;;;771;845;74;734;657;786;596;77;602;457;89;186;377;227;89;186;377;217;7568;1337;867;4407;9655;9244;6947;5589;6568;913;681;723;841;9902;868;3073;86;6183;4747;1534;1333;995;9447;9667;5998;1903;77094;77929;136373;7569;12055;28425;46632;7345;224943;326895;1615;1111;537;524;465;1103;2617;3402;7675;14578;204532351;204415491;202226795;5708514;27319801;37694949;9288033;10375148;159692542;10242815;23779687;149317393;125537706;17728449;87110394
2017;BRASIL;;;774;849;742;735;655;789;599;775;611;453;87;177;384;226;87;177;384;216;7596;1288;894;4393;9659;9312;6921;5654;6545;926;669;709;824;9906;8692;3104;8599;616;4798;1543;1258;917;9448;9705;5982;1945;77472;7843;135822;7482;11689;28428;47023;73815;225548;329525;1643;1124;539;53;529;1136;2624;3377;7355;14359;206172340;206095081;203579428;5793161;26977583;36965134;9178387;9987551;161671766;10306849;23975663;151684215;127708552;18431296;87616245
2018;BRASIL;;;78;854;749;741;662;797;602;781;622;45;85;169;393;227;85;169;393;216;7622;1242;922;4402;9695;9334;7005;5849;6623;945;646;682;788;9912;878;3122;866;6246;4962;1657;1216;872;9493;9718;6091;2032;80294;81253;138646;7447;11643;28847;48457;76434;235928;346856;1713;1165;545;548;538;113;26;3318;7178;14287;207853293;207750303;205297475;5637587;26818633;36460225;9041166;9641591;163492349;10093878;23998725;153850757;129852032;19168661;89281706
2019;BRASIL;;;785;858;76;743;674;807;609;787;634;453;83;166;39;224;83;166;39;213;7647;12;952;4409;9686;9409;7148;6026;6742;955;628;661;764;9927;8832;3098;8812;6366;5069;1683;1116;799;9538;9771;629;2044;8143;82375;138135;7442;1174;29494;49737;78089;237644;349248;1694;1153;544;547;542;1111;2536;3343;7104;14139;209496463;209419050;207017440;5696969;26609576;35999274;8951264;9389698;165329825;10194743;23952392;155940127;131987735;19941230;91579200
2020;BRASIL;;;784;854;768;736;695;807;618;777;65;467;9;153;365;212;9;153;365;203;7621;1402;983;4433;9199;9497;7311;6287;6948;982;539;567;652;9921;9088;3248;906;6577;5335;1806;1032;703;9628;9769;6573;2132;77913;79283;142481;7291;13074;30712;48982;74663;222152;324139;1481;1015;524;485;441;941;237;2586;695;14781;211096453;211020949;207374391;5891193;26392885;35750038;8751715;9357153;167005197;9806225;23521448;157648044;134126596;20748553;83946549
2021;BRASIL;;;766;819;757;724;703;785;591;74;64;436;96;154;398;228;96;154;398;216;7416;1528;1015;4457;8818;9404;7056;6127;7031;991;519;545;626;9884;928;3338;906;6686;5389;1863;1146;835;9661;9763;6484;2084;72384;73828;133618;7542;10013;26186;44002;69927;211537;308977;1707;1169;544;537;68;1343;2876;3135;6898;13662;212650323;212577217;208421576;5860250;26435508;35708677;8708856;9273169;168679921;9546945;23143737;159406751;136263014;21590309;86645408
